Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Why you should have a cat,@ShouldHaveCat,2024-03-27T21:05:32.000Z,True,the softest paws ,93,3.8K,37K,818K,[],[],['\\U0001f43e'],https://pbs.twimg.com/profile_images/1365068242918780928/m278bxAZ_normal.jpg,https://twitter.com/ShouldHaveCat/status/1773094024959668664,tweet_id:1773094024959668664
Historic Vids,@historyinmemes,2024-03-27T06:47:00.000Z,True,Imagine if Harry Potter ended like this,956,6.7K,106K,21M,[],[],[],https://pbs.twimg.com/profile_images/1648334723725361152/ev7V1230_normal.jpg,https://twitter.com/historyinmemes/status/1772877968219525393,tweet_id:1772877968219525393
Jack Forge,@TheJackForge,2024-03-27T15:52:06.000Z,True,"The next 10 years are going to be crazy.

Tech bros are going to have to put down their MacBooks.

And learn how to use a hammer.",678,1.1K,14K,3M,[],[],[],https://pbs.twimg.com/profile_images/1490901062428946436/SPg2WmEU_normal.jpg,https://twitter.com/TheJackForge/status/1773015146509525231,tweet_id:1773015146509525231
Fascinating,@fasc1nate,2024-03-27T16:27:14.000Z,True,"When Kurt Russell was a kid, he worked with Charles Bronson.   

On discovering it was Bronson's birthday, Russell gave him a gift.   

Bronson took the gift and left without a word, leaving Russell worried he had upset him.   

Later, Bronson called Russell to his dressing room¡¦",445,3.6K,52K,11M,[],[],[],https://pbs.twimg.com/profile_images/1552059284086611968/l0vA92Sh_normal.jpg,https://twitter.com/fasc1nate/status/1773023987846762970,tweet_id:1773023987846762970
Nature is Amazing,@AMAZlNGNATURE,2024-03-27T19:45:07.000Z,True,Baby monkey eating dragon fruit..,516,5.3K,56K,5M,[],[],"['\\U0001f412', '\\U0001f60d']",https://pbs.twimg.com/profile_images/992795937574604802/FMGk7GZN_normal.jpg,https://twitter.com/AMAZlNGNATURE/status/1773073784817205588,tweet_id:1773073784817205588
Out Of Context Football,@nocontextfooty,2024-03-27T20:14:13.000Z,True,,785,3.1K,64K,9.1M,[],[],[],https://pbs.twimg.com/profile_images/1112323410837815296/wxhDfc5D_normal.jpg,https://twitter.com/nocontextfooty/status/1773081111117054452,tweet_id:1773081111117054452
Dom Lucre | Breaker of Narratives,@dom_lucre,2024-03-27T19:21:26.000Z,True,"DEVELOPING: This footage of an episode of Dan Schneider¡¯s Nickelodeon TV series ¡®All That,¡¯ where a thick milky white slime was being poured on child star Shane Lyon¡¯s face in an attempt wake him up and Sean Diddy Combs told the children to also put a toy helicopter down his¡¦",870,6K,22K,12M,[],[],"['\\U0001f525', '\\U0001f6a8']",https://pbs.twimg.com/profile_images/1654149181517225990/loa3m-0L_normal.jpg,https://twitter.com/dom_lucre/status/1773067826623889818,tweet_id:1773067826623889818
Wall Street Silver,@WallStreetSilv,2024-03-27T09:45:00.000Z,True,Are you this old?,3.6K,850,11K,563K,[],[],[],https://pbs.twimg.com/profile_images/1482179968083836928/7prxRZ4M_normal.jpg,https://twitter.com/WallStreetSilv/status/1772922761330950345,tweet_id:1772922761330950345
juju,@ayeejuju,2024-03-27T14:58:42.000Z,True,thanking God for not being born like this,2.2K,11K,180K,15M,[],[],[],https://pbs.twimg.com/profile_images/1587176262094626816/C2dyZYPs_normal.jpg,https://twitter.com/ayeejuju/status/1773001706332127552,tweet_id:1773001706332127552
cats with jobs,@CatWorkers,2024-03-28T00:06:53.000Z,True,Personal trainer.,21,696,8.2K,153K,[],[],[],https://pbs.twimg.com/profile_images/1531787315852492800/f9XuxbM5_normal.jpg,https://twitter.com/CatWorkers/status/1773139661382160700,tweet_id:1773139661382160700
Science girl,@gunsnrosesgirl3,2024-03-27T11:55:39.000Z,True,Inflatable garage protection  supercarblondie,1.2K,2.5K,37K,15M,[],[],['\\U0001f4f9'],https://pbs.twimg.com/profile_images/1504867101923762178/gfZgsqoL_normal.jpg,https://twitter.com/gunsnrosesgirl3/status/1772955641843237176,tweet_id:1772955641843237176
Juanita Broaddrick,@atensnut,2024-03-27T19:46:11.000Z,True,Is this accurate?   Does anybody know?,4.2K,4.9K,23K,6.7M,[],[],[],https://pbs.twimg.com/profile_images/1312545540694069250/uFTgY5Zb_normal.jpg,https://twitter.com/atensnut/status/1773074053437243557,tweet_id:1773074053437243557
Leading Report,@LeadingReport,2024-03-27T20:52:25.000Z,True,"BREAKING: Election integrity organization Omega4America says they are worried Trump may lose in all swing states if nothing changes because they¡¯ve found abundant ¡°phantom voters¡± registered on their rolls. 

¡°Every state we test, all 26, has from 7% to 18% of its registered¡¦",503,5.3K,13K,850K,[],[],[],https://pbs.twimg.com/profile_images/1617059782908575746/ybOW2sxh_normal.jpg,https://twitter.com/LeadingReport/status/1773090722016571792,tweet_id:1773090722016571792
Dont Show Your Cat,@DontShowYourCat,2024-03-27T22:22:00.000Z,True,,10,399,5.7K,53K,[],[],[],https://pbs.twimg.com/profile_images/1609200036159672324/0wGQ_dpT_normal.jpg,https://twitter.com/DontShowYourCat/status/1773113266417610768,tweet_id:1773113266417610768
kira,@kirawontmiss,2024-03-27T15:59:16.000Z,True,,341,2.6K,114K,3M,[],[],[],https://pbs.twimg.com/profile_images/1636443983990669326/xm-YehdR_normal.jpg,https://twitter.com/kirawontmiss/status/1773016949380812862,tweet_id:1773016949380812862
SoulSilverArt,@soulsilverart,2024-03-27T13:05:13.000Z,True,"Just a reminder, Palworld died a month ago. 

Also Pokemon day was only just a month ago¡¦",502,979,13K,759K,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1731431049433960449/RAGtg_pg_normal.jpg,https://twitter.com/soulsilverart/status/1772973149539180567,tweet_id:1772973149539180567
CharlieIntel,@charlieINTEL,2024-03-27T17:31:54.000Z,True,so interesting tbh,445,540,7.6K,1M,[],[],[],https://pbs.twimg.com/profile_images/1687158312071020560/tmCw3sa1_normal.jpg,https://twitter.com/charlieINTEL/status/1773040262995992780,tweet_id:1773040262995992780
Roshan Patel,@roshanpateI,2024-03-27T16:46:37.000Z,True,"Friend making $20/hr as a barista: ¡°No worries bro, I""ll cover this one and you'll get the next one!¡±

Friend making $450k as a software engineer: ¡°Can you Venmo me $3.62 for your share of the Uber ride?¡±",809,12K,148K,7.9M,[],[],[],https://pbs.twimg.com/profile_images/1350551659617918978/7sxuQoSD_normal.jpg,https://twitter.com/roshanpateI/status/1773028865297825963,tweet_id:1773028865297825963
Jackson Hinkle,@jacksonhinklle,2024-03-27T12:00:02.000Z,True," Russia has CANCELLED Guinea Bissau's DEBT.  

Guinea Bissau will use the money saved towards improving healthcare and education.",484,6.4K,47K,1.4M,[],[],"['\\U0001f6a8', '\\U0001f1f7\\U0001f1fa', '\\U0001f1ec\\U0001f1fc']",https://pbs.twimg.com/profile_images/1567704552283193345/wMLFemzm_normal.jpg,https://twitter.com/jacksonhinklle/status/1772956745041600926,tweet_id:1772956745041600926
Figen,@TheFigen_,2024-03-27T12:30:01.000Z,True,Awww Grandma was confused for a moment. ,1.2K,32K,318K,27M,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1645880810958929921/8mi_I17M_normal.jpg,https://twitter.com/TheFigen_/status/1772964289596572020,tweet_id:1772964289596572020
H0W_THlNGS_W0RK,@HowThingsWork_,2024-03-27T10:54:11.000Z,True,"Quiz time. Can you guess what is being heated here?  No cheating

Credit:  Potterandsons",2.6K,986,8.5K,9.9M,[],[],"['\\U0001f914', '\\U0001f3a5']",https://pbs.twimg.com/profile_images/1592626494546796545/YxyPborr_normal.jpg,https://twitter.com/HowThingsWork_/status/1772940172763508865,tweet_id:1772940172763508865
DogeDesigner,@cb_doge,2024-03-27T17:26:16.000Z,True,"Population of Earth: 8 Billion 

Global Impressions Last Year on ??: 5 Trillion+",905,1.2K,6.2K,1.3M,[],[],[],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://twitter.com/cb_doge/status/1773038845291823273,tweet_id:1773038845291823273
Troll Football,@TrollFootball,2024-03-27T11:40:43.000Z,True," New Record

Lamine Yamal has become the youngest player to watch Endrick score for Brazil",957,10K,151K,6.1M,[],[],"['\\U0001f6a8', '\\U0001f6a8']",https://pbs.twimg.com/profile_images/1612788418010042369/9wIHyK2z_normal.jpg,https://twitter.com/TrollFootball/status/1772951884359155999,tweet_id:1772951884359155999
Cats That Heal Your Depression,@Catshealdeprsn,2024-03-27T17:21:50.000Z,True,My two personalities,34,2.1K,26K,373K,[],[],[],https://pbs.twimg.com/profile_images/1368996766364831749/yJLY51UF_normal.jpg,https://twitter.com/Catshealdeprsn/status/1773037727593701493,tweet_id:1773037727593701493
Justin Trudeau,@JustinTrudeau,2024-03-28T02:49:44.000Z,True,"Nos mesures contre les hausses injustes, les renovictions et les mauvais proprietaires protegeront les locataires de tous ages au pays.",55,16,103,37K,[],[],[],https://pbs.twimg.com/profile_images/1426938479909421056/QpI3TSNn_normal.jpg,https://twitter.com/JustinTrudeau/status/1773180646711562490,tweet_id:1773180646711562490
Why you should have a cat,@ShouldHaveCat,2024-03-27T16:02:53.000Z,True,Father's blood is strong.,288,11K,129K,2.5M,[],[],[],https://pbs.twimg.com/profile_images/1365068242918780928/m278bxAZ_normal.jpg,https://twitter.com/ShouldHaveCat/status/1773017860320731567,tweet_id:1773017860320731567
Nature is Amazing,@AMAZlNGNATURE,2024-03-27T13:45:07.000Z,True,"Oh nothing, just a lion and a lioness cuddling each other.",1.1K,14K,133K,10M,[],[],[],https://pbs.twimg.com/profile_images/992795937574604802/FMGk7GZN_normal.jpg,https://twitter.com/AMAZlNGNATURE/status/1772983189125906864,tweet_id:1772983189125906864
Historic Vids,@historyinmemes,2024-03-27T17:41:44.000Z,True,When Aaron Hernandez¡¯s teammates realized he had issues,407,1.6K,22K,8.3M,[],[],[],https://pbs.twimg.com/profile_images/1648334723725361152/ev7V1230_normal.jpg,https://twitter.com/historyinmemes/status/1773042734527308091,tweet_id:1773042734527308091
Out Of Context Football,@nocontextfooty,2024-03-27T09:38:03.000Z,True,,918,10K,155K,12M,[],[],[],https://pbs.twimg.com/profile_images/1112323410837815296/wxhDfc5D_normal.jpg,https://twitter.com/nocontextfooty/status/1772921014235582962,tweet_id:1772921014235582962
rare insults,@insultsrare,2024-03-27T09:15:00.000Z,True,,216,4.5K,64K,2.1M,[],[],[],https://pbs.twimg.com/profile_images/1524871375831326728/AnvqIDN2_normal.jpg,https://twitter.com/insultsrare/status/1772915211621593204,tweet_id:1772915211621593204
non aesthetic things,@PicturesFoIder,2024-03-27T11:02:07.000Z,True,what is going on here,1.2K,1.8K,19K,15M,[],[],[],https://pbs.twimg.com/profile_images/989513875124117504/UNMIb20k_normal.jpg,https://twitter.com/PicturesFoIder/status/1772942167750611337,tweet_id:1772942167750611337
Dont Show Your Cat,@DontShowYourCat,2024-03-27T11:07:45.000Z,True,,15,1.3K,32K,569K,[],[],[],https://pbs.twimg.com/profile_images/1609200036159672324/0wGQ_dpT_normal.jpg,https://twitter.com/DontShowYourCat/status/1772943585949741337,tweet_id:1772943585949741337
Fascinating,@fasc1nate,2024-03-27T05:30:05.000Z,True,Michael Jackson realizes the press take pictures every time he moves,279,4.6K,87K,8.3M,[],[],[],https://pbs.twimg.com/profile_images/1552059284086611968/l0vA92Sh_normal.jpg,https://twitter.com/fasc1nate/status/1772858611716313572,tweet_id:1772858611716313572
Science girl,@gunsnrosesgirl3,2024-03-27T04:48:15.000Z,True,A different way of making corn   coo_king001,576,7.6K,55K,13M,[],[],"['\\U0001f33d', '\\U0001f4f9']",https://pbs.twimg.com/profile_images/1504867101923762178/gfZgsqoL_normal.jpg,https://twitter.com/gunsnrosesgirl3/status/1772848083396612371,tweet_id:1772848083396612371
Wall Street Silver,@WallStreetSilv,2024-03-27T12:45:00.000Z,True,,628,7.3K,29K,479K,[],[],"['\\U0001f4af', '\\U0001f4af', '\\U0001f4af']",https://pbs.twimg.com/profile_images/1482179968083836928/7prxRZ4M_normal.jpg,https://twitter.com/WallStreetSilv/status/1772968060418154733,tweet_id:1772968060418154733
Jon Cooper,@joncoopertweets,2024-03-27T14:47:53.000Z,False,"Mike Lindell, Ronna McDaniel and Rudy Giuliani are in a rowboat that¡¯s sinking in the middle of a lake. You can only save one of them ? who would you choose?",8.9K,1.4K,5.1K,839K,[],[],[],https://pbs.twimg.com/profile_images/1700249660152000512/C6-v-1zd_normal.jpg,https://twitter.com/joncoopertweets/status/1772998987206775265,tweet_id:1772998987206775265
place where animal shouldn¡¯t be,@catshouldnt,2024-03-27T17:27:18.000Z,True,,20,557,12K,157K,[],[],[],https://pbs.twimg.com/profile_images/1734504851160338432/nQTA-ZW9_normal.jpg,https://twitter.com/catshouldnt/status/1773039103518400860,tweet_id:1773039103518400860
Dom Lucre | Breaker of Narratives,@dom_lucre,2024-03-27T21:15:49.000Z,True,"Diddy's son King, 25, is spotted looking tense outside rapper's LA mansion as he wears what fans call ¡®Illuminati sweatpants¡¯ beside his bright red dog.",695,1K,5.7K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1654149181517225990/loa3m-0L_normal.jpg,https://twitter.com/dom_lucre/status/1773096610030846125,tweet_id:1773096610030846125
"I,Hypocrite",@lporiginalg,2024-03-27T17:00:54.000Z,True,,1.1K,2.2K,17K,944K,[],[],[],https://pbs.twimg.com/profile_images/1478064605897261058/aPM43m8i_normal.jpg,https://twitter.com/lporiginalg/status/1773032460286091582,tweet_id:1773032460286091582
Instablog9ja,@instablog9ja,2024-03-27T20:27:54.000Z,True,Pregnancy was humbled,342,1.3K,11K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1514080173859258377/WRnGPcs2_normal.jpg,https://twitter.com/instablog9ja/status/1773084553092935983,tweet_id:1773084553092935983
Cats That Heal Your Depression,@Catshealdeprsn,2024-03-27T16:19:04.000Z,True,,53,917,19K,229K,[],[],[],https://pbs.twimg.com/profile_images/1368996766364831749/yJLY51UF_normal.jpg,https://twitter.com/Catshealdeprsn/status/1773021933472260108,tweet_id:1773021933472260108
Dexerto,@Dexerto,2024-03-27T18:39:28.000Z,True,"¡°content that focuses on intimate body parts for a prolonged period of time will not be allowed.¡±

Twitch is changing their content guidelines starting March 29th",1.4K,3.3K,54K,5.9M,[],[],[],https://pbs.twimg.com/profile_images/1714301666445402112/5U5myYFv_normal.jpg,https://twitter.com/Dexerto/status/1773057265496465534,tweet_id:1773057265496465534
Catturd ¢â,@catturd2,2024-03-27T12:25:43.000Z,True,"The bridge collapsed at 1.30 am - by  8 am the next morning, all officials had done an ""investigation"" and determined it was just an incident.

4 hours later, Biden hit the mic and said tax payers would pay for the full rebuild. 

Nothing to see here - pull my finger.",2.4K,12K,51K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1043187066832650240/6iaOQ7xL_normal.jpg,https://twitter.com/catturd2/status/1772963205981110613,tweet_id:1772963205981110613
Watcher.Guru,@WatcherGuru,2024-03-27T19:28:39.000Z,True,JUST IN: BlackRock CEO Larry Fink says its Spot #Bitcoin ETF is the fastest growing ETF in history and he's very bullish on $BTC long term.,497,2.6K,12K,711K,['#Bitcoin'],[],[],https://pbs.twimg.com/profile_images/1641221212578754562/DfiC0KW2_normal.png,https://twitter.com/WatcherGuru/status/1773069643923570968,tweet_id:1773069643923570968
Tim Pool,@Timcast,2024-03-27T19:20:13.000Z,True,"Wow

The victim lost around $4M on the deal according to the NYPost

For shame ",1.1K,5.1K,21K,660K,[],['@jonstewart'],[],https://pbs.twimg.com/profile_images/1554464415944249346/SIzmWW9p_normal.jpg,https://twitter.com/Timcast/status/1773067519076561406,tweet_id:1773067519076561406
Ryan Fournier,@RyanAFournier,2024-03-27T18:30:01.000Z,True,"Jon Stewart overvalued his NYC apartment by over 827%.

Will Leticia James go after him?

Of course not.",1.1K,3.2K,16K,307K,[],[],[],https://pbs.twimg.com/profile_images/1700149172920344576/raByg440_normal.jpg,https://twitter.com/RyanAFournier/status/1773054888966000890,tweet_id:1773054888966000890
NBACentral,@TheDunkCentral,2024-03-27T16:53:32.000Z,True,Bam ,359,3K,50K,2.4M,[],[],"['\\U0001f602', '\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1221617218615676929/R3Y-rM_G_normal.jpg,https://twitter.com/TheDunkCentral/status/1773030607754318232,tweet_id:1773030607754318232
SAY CHEESE!,@SaycheeseDGTL,2024-03-27T18:30:51.000Z,True,Yung Miami has been accused of transporting pink cocaine to Diddy in new court documents,1.4K,6.1K,35K,5.8M,[],[],[],https://pbs.twimg.com/profile_images/1334349241213456386/30mL3JAm_normal.jpg,https://twitter.com/SaycheeseDGTL/status/1773055095325806955,tweet_id:1773055095325806955
Jackson Hinkle,@jacksonhinklle,2024-03-27T12:20:00.000Z,True,,926,19K,51K,922K,[],[],[],https://pbs.twimg.com/profile_images/1567704552283193345/wMLFemzm_normal.jpg,https://twitter.com/jacksonhinklle/status/1772961768333271250,tweet_id:1772961768333271250
PeterSweden,@PeterSweden7,2024-03-27T19:38:54.000Z,True,Should schools be banned from teaching woke gender ideology to kids?,705,549,5.3K,79K,[],[],[],https://pbs.twimg.com/profile_images/1689406782647500800/2EBrCIZx_normal.jpg,https://twitter.com/PeterSweden7/status/1773072220597764575,tweet_id:1773072220597764575
Chuck Callesto,@ChuckCallesto,2024-03-27T20:37:02.000Z,True,"BOMSHELL REPORT:  Accusations emerge that Michael Cohen was HAVING AN AFFAIR with Stormy Daniels since 2006 and that the ""hush money scheme was cooked up by Michael Cohen to EXTORT THE TRUMP ORGANIZATION before the 2016 election""..

""Avenatti shared details of his client Stormy¡¦",2.5K,11K,24K,2.2M,[],[],['\\u26a0\\ufe0f'],https://pbs.twimg.com/profile_images/1598018334489968643/050LunT9_normal.jpg,https://twitter.com/ChuckCallesto/status/1773086852972499133,tweet_id:1773086852972499133
SoulSilverArt,@soulsilverart,2024-03-27T18:30:26.000Z,True,"New Skeledirge Pokemon sweater goes kinda hard. It even has scarlet and violet flames, very nice detail.",12,244,2.8K,89K,[],[],[],https://pbs.twimg.com/profile_images/1731431049433960449/RAGtg_pg_normal.jpg,https://twitter.com/soulsilverart/status/1773054993177657502,tweet_id:1773054993177657502
Fight Haven,@FightHaven,2024-03-27T13:00:03.000Z,True,"Justified?
Father runs up on the Teacher that has been sleeping with his daughter...",5.2K,3.3K,49K,2.8M,[],[],[],https://pbs.twimg.com/profile_images/865269170132328448/cvBsCNGY_normal.jpg,https://twitter.com/FightHaven/status/1772971846800937276,tweet_id:1772971846800937276
Libs of TikTok,@libsoftiktok,2024-03-27T15:37:17.000Z,True,"This is from the ¡°Women in Aviation Conference¡± in Orlando. There was a booth where pilots can sign up to fly adolescents to undergo s*x change surgeries or get puberty blockers.

This is how desperate they are to trans kids. 

Isn¡¯t there a word for someone who transports kids¡¦",1.7K,6.7K,19K,1.7M,[],[],[],https://pbs.twimg.com/profile_images/1489097242321428482/sQSUN_M6_normal.jpg,https://twitter.com/libsoftiktok/status/1773011418159387109,tweet_id:1773011418159387109
Pomp,@APompliano,2024-03-27T13:09:06.000Z,True,"The US dollar has lost 25% of its purchasing power since January 2020.

Every $1 you had is now worth $0.75 of goods.

Insane.",295,2.3K,7.6K,850K,[],[],[],https://pbs.twimg.com/profile_images/1547787118243561478/PxWzJo1H_normal.jpg,https://twitter.com/APompliano/status/1772974125163729090,tweet_id:1772974125163729090
Matt Wallace,@MattWallace888,2024-03-27T20:27:49.000Z,True," EXTREMELY UNSETTLING Someone recorded this moment on their TV where two birds seem to disappear into thin air during LIVE coverage of the bridge collapse.

In the movie the Obamas produced, ¡®Leave The World Behind¡¯ the birds start acting in crazy/highly unusual ways after¡¦",2K,7.1K,24K,9M,[],[],"['\\U0001f6a8', '\\U0001f6a8']",https://pbs.twimg.com/profile_images/1688868602437394432/GJBf9glE_normal.jpg,https://twitter.com/MattWallace888/status/1773084533295915177,tweet_id:1773084533295915177
Everything Out Of Context,@EverythingOOC,2024-03-27T06:32:00.000Z,True,,109,10K,108K,1.9M,[],[],[],https://pbs.twimg.com/profile_images/1738981279134089216/VRuVg2oV_normal.jpg,https://twitter.com/EverythingOOC/status/1772874191374799270,tweet_id:1772874191374799270
kira,@kirawontmiss,2024-03-27T17:56:30.000Z,True,how do you fuck up a thread this badly,331,3.6K,86K,2.9M,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1636443983990669326/xm-YehdR_normal.jpg,https://twitter.com/kirawontmiss/status/1773046452761022612,tweet_id:1773046452761022612
Culture Crave,@CultureCrave,2024-03-27T20:18:38.000Z,True,"Jack Black thinks #RedDeadRedemption would be a good film adaptation 

""I can¡¯t believe they haven¡¯t already started making a movie of any of the Rockstar Games""

(via )",675,2.4K,41K,2.3M,['#RedDeadRedemption'],['@GamesRadar'],[],https://pbs.twimg.com/profile_images/1664217243318898689/6NSy8twT_normal.png,https://twitter.com/CultureCrave/status/1773082221185728927,tweet_id:1773082221185728927
Melissa Munro,@MelissaMunro1,2024-03-26T16:16:43.000Z,False,"Hey, , what don't you understand about 8 out of 10 families get more money back? Why do you want to rob us of this rebate?",899,231,639,45K,[],['@PierrePoilievre'],[],https://pbs.twimg.com/profile_images/1439607704868241409/5-6dUMhc_normal.jpg,https://twitter.com/MelissaMunro1/status/1772658951231779138,tweet_id:1772658951231779138
Vicki Campbell,@merry123459,2024-03-26T23:54:28.000Z,False,I¡¯m voting for the Liberal party because I agree with the price on carbon like many experts do.#IStandWithTrudeau,1.6K,516,2.4K,82K,['#IStandWithTrudeau'],[],[],https://pbs.twimg.com/profile_images/1389636557003534338/vOW3tBtV_normal.jpg,https://twitter.com/merry123459/status/1772774151700320728,tweet_id:1772774151700320728
juju,@ayeejuju,2024-03-27T17:57:31.000Z,True,this happened 2 years ago today ,1.1K,4.3K,60K,5.1M,[],[],['\\U0001f480'],https://pbs.twimg.com/profile_images/1587176262094626816/C2dyZYPs_normal.jpg,https://twitter.com/ayeejuju/status/1773046709922267603,tweet_id:1773046709922267603
cat with confusing auras,@cats_ix,2024-03-27T12:41:26.000Z,False,My two mood,93,8.4K,46K,979K,[],[],[],https://pbs.twimg.com/profile_images/1748722207843389440/6H2txjRq_normal.jpg,https://twitter.com/cats_ix/status/1772967164137353723,tweet_id:1772967164137353723
JB | Polisci,@cdnpoli101,2024-03-27T17:22:34.000Z,False,"BREAKING: During an announcement in Vancouver. Prime Minister Trudeau announces a new Renters Bill of Rights which includes protections for tenants, legal funding to fight unfair practices from landlords, and your rent will now count towards your credit score/profile.",298,711,3.2K,626K,[],[],[],https://pbs.twimg.com/profile_images/1752375398988394500/wYcX50hG_normal.jpg,https://twitter.com/cdnpoli101/status/1773037911459430497,tweet_id:1773037911459430497
JPM,@MeaneyJim,2024-03-27T14:05:48.000Z,False,"Hey  supporters, so if Poilievre becomes PM, he will scrap the carbon tax and the rebates. What's he going to do to reduce Canada's carbon emissions?",1K,101,356,63K,[],['@CPC_HQ'],[],https://pbs.twimg.com/profile_images/1668446376735264768/y4j0lC4N_normal.jpg,https://twitter.com/MeaneyJim/status/1772988394521440699,tweet_id:1772988394521440699
Made In Canada,@MadelnCanada,2024-03-27T16:48:48.000Z,True,Don¡¯t worry they bring the CN Tower down for repairs once in a while,77,194,682,259K,[],[],[],https://pbs.twimg.com/profile_images/1498161430692077569/YzdDrjpM_normal.jpg,https://twitter.com/MadelnCanada/status/1773029416257413301,tweet_id:1773029416257413301
